Year,Deaths
1913,4200
1914,4700
1915,6600
1916,8200
1917,10200
1918,10700
1919,11200
1920,12500
1921,13900
1922,15300
1923,18400
1924,19400
1925,21900
1926,23400
1927,25800
1928,28000
1929,31200
1930,32900
1931,33700
1932,29500
1933,31363
1934,36101
1935,36369
1936,38089
1937,39643
1938,32582
1939,32386
1940,34501
1941,39969
1942,28309
1943,23823
1944,24282
1945,28076
1946,33411
1947,32697
1948,32259
1949,31701
1950,34763
1951,36996
1952,37794
1953,37956
1954,35586
1955,38426
1956,39628
1957,38702
1958,36981
1959,37910
1960,38137
1961,38091
1962,40804
1963,43564
1964,47700
1965,49163
1966,53041
1967,52924
1968,54862
1969,55791
1970,54633
1971,54381
1972,56278
1973,55511
1974,46402
1975,45853
1976,47038
1977,49510
1978,52411
1979,53524
1980,53172
1981,51385
1982,45779
1983,44452
1984,46263
1985,45901
1986,47865
1987,48290
1988,49078
1989,47575
1990,46814
1991,43536
1992,40982
1993,41893
1994,42524
1995,43363
1996,43649
1997,43458
1998,43501
1999,42401
2000,43354
2001,43788
2002,45380
2003,44757
2004,44933
2005,45343
2006,45316
2007,43945
2008,39790
2009,36216
2010,35332
2011,35303
2012,36415
2013,35369
2014,35398
2015,37757
2016,40327
2017,40231
2018,39404
2019,39107
2020,42338
2021,46980
2022,46027
